File Name,Job Title,EXP Job Title,Job Number,Job Duties,Salary Range,Open Date,EXPERIENCE_LENGTH,Education Years,PART-TIME OR FULL-TIME,School Type,Educational Major,Required License,Exam Type,COURSE_SUBJECT,Course Counts,Course Length ,Job Requirements
cityofla/Job Bulletins\COMMUNICATIONS ELECTRICIAN 3686 052518.txt,COMMUNICATIONS ELECTRICIAN,TELECOMMUNICATION,3686,"A Communications Electrician does skilled work in the maintenance, repair, installation, configuration and programming of communications systems and equipment such as microwave radio, conventional and trunking two-way radio, VoIP telephony, SONET, SCADA, data networks, radio communications transmitters/receivers and systems, PBX telephone switches, multiplexing, audio and video, CCTV and CAD.","$90,645 (flat-rated)",5/25/2018,4,2,PART-TIME,COLLEGE,COMMUNICATIONS,R,ONLY ON AN OPEN COMPETITIVE BASIS,,1,3,"1. Four years of full-time paid experience in maintenance, repair, and installation of any of a wide variety of electronics and communications systems including video, conventional and trunking two-way radio, microwave radio, telephone systems, monitoring systems, public address, data networks, video and access systems including programming, configuration or troubleshooting of communications systems; or
2. Two years of full-time paid experience of the type specified in Requirement #1, and
a. Completion of a certificate program or associate degree program in electronics technology, telecommunications, or computer science at an accredited college or trade school; or
b. Successful completion of a U.S. military electronics technical course of 24 weeks or longer within the last 10 years."
cityofla/Job Bulletins\COMMUNICATIONS ELECTRICIAN SUPERVISOR 3689 012717.txt,COMMUNICATIONS ELECTRICIAN SUPERVISOR,ELECTRICIAN ,3689,"A Communications Electrician Supervisor assigns, reviews and evaluates the work of one or more groups of employees engaged in the construction, installation, operation, repair, maintenance, and modification of radio, microwave transmission, Local Area Network/Wide Area Network data distribution systems, telephone networks, audio, TDD equipment, avionic electronics, intrusion alarm systems, mobile digital terminals, dispatch networks, copper and fiber-optic cable systems, video distribution systems, supervisory control and data acquisition (SCADA) and transmission systems; applies sound supervisory principles and techniques in building and maintaining an effective work force, fulfills equal employment opportunity responsibilities, and does related work.","$99,347 (Flat Rated)",1/27/2017,2,,FULL-TIME,None,COMMUNICATIONS,R,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,,0,0,"1.	Two years of full-time paid experience in the class of Senior Communications Electrician with the City of Los Angeles, engaged in the supervision of technical work on communications equipment and systems; or
2. Four years of full-time paid experience in a class at the level of Communications Electrician with the City of Los Angeles, engaged in the installation, construction, operation, repair, maintenance or modification of communications equipment."
cityofla/Job Bulletins\COMMUNICATIONS ENGINEER 7610 072817 (2).txt,COMMUNICATIONS ENGINEER,ENGINEER,7610,"A Communications Engineer assigns, reviews, and evaluates the work of professional engineers and technical employees engaged in the preparation of plans, designs, specifications, estimates, cost and service analyses, and reports associated with the planning, design, construction, installation, operation and maintenance of municipal communications systems or Local Area Network (LAN) / Wide Area Network (WAN) communications systems; may also direct and coordinate the municipal communications systems or the LAN / WAN communications systems, construction, installation, operation and maintenance activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","$89,638 to $127,556",7/28/2017,2,4,PART-TIME,COLLEGE OR UNIVERSITY,COMMUNICATIONS,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. Two years of full-time paid communications engineering experience gained post-graduation from an accredited four-year college or university with a degree in engineering, or upon obtaining a valid Engineer-in-Training Certificate recognized by the California State Board  for Professional Engineers, Land Surveyors, and Geologists; and
2. Two years of full-time paid communications engineering experience in a position at the level of Communications Engineering Associate II.  
One year of graduate study (12 semester or 18 quarter units) in an engineering master's degree program from an accredited college or university may be substituted for up to a maximum of one year of the required experience listed under Requirement #1."
cityofla/Job Bulletins\COMMUNICATIONS ENGINEERING ASSOCIATE 7607 081018.txt,COMMUNICATIONS ENGINEERING ASSOCIATE,ENGINEER,7607,"A Communications Engineering Associate performs professional communications engineering work in the preparation of plans, designs, specifications, estimates, studies, reports, and cost and service analyses for the City's communications systems; gives technical direction in the construction, installation, maintenance, and operation of Local Area Network (LAN), Wide Area Network (WAN), other communications systems and equipment such as security systems, IT cable infrastructure, radio, audio/video, telephone, microwave; and does related work.","$66,231 to $96,841; $74,082 to $108,346; $82,496 to $120,582; and $89,637 to $131,063",8/10/2018,,4,None,COLLEGE OR UNIVERSITY,ENGINEERING,R,ONLY ON AN OPEN COMPETITIVE BASIS,,2,6,"1. Graduation from an accredited four-year college or university with a major in engineering, which includes at least 24 semester units or 36 quarter units of communications engineering or electrical engineering courses; or
2. Possession of a valid Engineer-in-Training Certificate (EIT) recognized by the California State Board of Registration for Professional Engineers."
cityofla/Job Bulletins\COMMUNICATIONS INFORMATION REPRESENTATIVE 1461 101317 Revised.txt,COMMUNICATIONS INFORMATION REPRESENTATIVE,CUSTOMER SERVICE ,1461,A Communications Information Representative operates a central voice telephone communication system or a two-way radio console; responds to incoming calls and email messages from the public; routes telephone calls to the proper station; monitors and dispatches personnel via radio; enters and retrieves information from a computer based system; relays messages received orally and in writing; places long distance and/or operator assisted calls; and does incidental clerical work.,"$41,697 to $59,340; $46,374 to $66,001; and $49,903 to $71,033",10/13/2017,1,1,FULL-TIME,HIGH SCHOOL,COMMUNICATIONS,P,ONLY ON AN OPEN COMPETITIVE BASIS,,0,0,"1. One year of full-time paid experience in a customer service call center environment responding to telephonic and/or electronic inquiries and processing requests for service or providing information to customers; and
2. One year of full-time paid office clerical experience; and
3. Graduation from a U.S. high school, G.E.D. or equivalent from a U.S. institution, or a California High School Proficiency Examination (CHSPE) certificate."
cityofla/Job Bulletins\COMMUNITY AFFAIRS ADVOCATE  111414.txt,COMMUNITY AFFAIRS ADVOCATE,,2496,"Liaison or community relations advocate to community groups, local civic officers and elected officials to foster partnerships with a diverse range of community interest groups to resolve problems and provide equitable services; develops and manages programs to enhance the effectiveness of the department's relationship with community, industry, political, and business stakeholders, as well as potential private donors.","$105,966 to $131,648",11/14/2014,6,,FULL-TIME,COLLEGE OR UNIVERSITY,MEDIA,R,ONLY ON AN OPEN COMPETITIVE BASIS,,0,0,"1. Current employment with the City of Los Angeles, and
2. A graduate degree from a recognized college or university in Urban Planning, and
3. Six years of full-time paid professional experience overseeing a department or division performing duties in community advocacy or community/public outreach concerning sustainable development or the development of educational, communication, or community programs at the local, state or national level."
cityofla/Job Bulletins\COMMUNITY HOUSING PROGRAMS MANAGER 8500 072018 REV 080918 (2).txt,COMMUNITY HOUSING PROGRAMS MANAGER,MANAGER ,8500,"A Community Housing Programs Manager plans, organizes, and directs the activities of a large staff engaged in the administrative, financial, and construction aspects of a grant-funded housing rehabilitation or production program; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","$101,664 to $148,665",7/20/2018,4,4,PART-TIME,COLLEGE OR UNIVERSITY,CONSTRUCTION,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,order to obtain that position.,0,0,"Four years of full-time paid housing rehabilitation or production experience, at the level of Rehabilitation Project Coordinator, supervising employees administering a public or private housing rehabilitation, housing production, real estate or real estate financing program relating to community based housing programs."
cityofla/Job Bulletins\COMMUNITY PROGRAM ASSISTANT 2501 062218.txt,COMMUNITY PROGRAM ASSISTANT,ASSISTANT,2501,"A Community Program Assistant informs, assists, organizes and counsels members of the community on a variety of programs and services in the areas of social services, senior services, education, training, youth development, employment and counseling; networks with the public, local businesses and other public agencies to support and augment community based programs; prepares reports; may make presentations to the Mayor, City Council and City Departments; and performs other related work.","$49,903 to $72,996; $54,622 to $79,866; and $65,709 to $96,048",6/22/2018,4,5,FULL-TIME,COLLEGE OR UNIVERSITY,MEDIA,R,ONLY ON AN OPEN COMPETITIVE BASIS,,0,0,"1. Graduation from an accredited four year college or university and one year of full-time paid experience coordinating, developing and implementing adult or K-12 literacy programs, community organizing events, social services, senior services, community services, counseling, job training and employment programs, youth development, child development, gang prevention or education programs; or
2. Five years of full-time paid experience coordinating, developing and implementing adult or K-12 literacy programs, community organizing events, social services, senior services, community services, counseling, job training and employment programs, youth development, child development, gang prevention or education programs."
cityofla/Job Bulletins\COMPLIANCE PROGRAM MANAGER 9165 111618.txt,COMPLIANCE PROGRAM MANAGER,SENIOR MANAGEMENT ANALYST,9165,"A Compliance Program Manager plans, organizes and directs the work of a large staff of professional, paraprofessional and administrative employees in the Department of Public Works, Bureau of Contract Administration, who provide a variety of compliance services and enforcement activities, which includes reviewing contractor or business applications and bid proposals, conducting field audits and investigations, analyzing payroll records, calculating wage restitutions and penalty assessments, negotiating settlement agreements to correct violations, administering contracts with consultants to support Bureau activities, managing citywide outreach efforts, and recommending approval or denial of affirmative action plans, contract awards or penalties, and certification of businesses by applying consistent and objective criteria; applies supervisory principles and techniques in building and maintaining an effective workforce; fulfills equal employment opportunity responsibilities; and does related work.","$90,640 to $132,546 and $113,211 to $165,515",11/16/2018,2,4,FULL-TIME,COLLEGE OR UNIVERSITY,BUSINESS,R,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,order to obtain that position.,0,0,"1. Two years of full-time paid experience at the level of Senior Management Analyst developing, implementing and monitoring departmental or organization-wide programs designed to ensure compliance with labor laws, affirmative action, and business diversity policies, rules and regulations, contract and/or employer related City ordinances; or
2. Five years of full-time paid professional experience with the City of Los Angeles developing, implementing, and monitoring departmental or organization-wide programs designed to ensure compliance with labor laws, affirmative action, and business diversity policies, rules and regulations, contract and/or employer related City ordinances."
cityofla/Job Bulletins\CONSTRUCTION AND MAINTENANCE SUPERINTENDENT 3129 082616 REV 090816.txt,CONSTRUCTION AND MAINTENANCE SUPERINTENDENT,SUPERVISOR,3129,"A Construction and Maintenance Superintendent plans, organizes, directs, and reviews through subordinate supervisors the work of a large group of employees engaged in construction and maintenance activities; is responsible for large construction projects and maintenance programs, and the development, review, implementation, and management of training and safety programs; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","$122,377 to $197,670",8/26/2016,3,,FULL-TIME,None,CONSTRUCTION,R,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,,0,0,Three years of full-time paid experience with the City of Los Angeles as a Construction and Maintenance Supervisor or in a class at that level as a second-level full-time supervisor of journey-level workers in general construction or maintenance work.
cityofla/Job Bulletins\CONSTRUCTION AND MAINTENANCE SUPERVISOR 3127 030416.txt,CONSTRUCTION AND MAINTENANCE SUPERVISOR,CARPENTER,3127,"A Construction and Maintenance Supervisor assigns, reviews and evaluates the work of field crews made up of craft and Labor Supervisors, journey-level workers, equipment operators, helpers, and laborers engaged in varied construction and maintenance work; applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.","$114,485 (flat-rated) and $121,166 (flat-rated)",3/4/2016,2,,FULL-TIME,None,LABOR,R,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,,0,0,"1. Two years of full-time paid experience in a class at the level of Carpenter Supervisor supervising a crew doing construction work; or
2. Three years of full-time paid experience as a Labor Supervisor with the City of Los Angeles; or
3. Three years of full-time paid experience in a class at the level of Mechanical Repair Supervisor supervising a crew installing and repairing equipment as part of construction work."
cityofla/Job Bulletins\CONSTRUCTION EQUIPMENT SERVICE WORKER 3541  012618.txt,CONSTRUCTION EQUIPMENT SERVICE WORKER,,3541,"A Construction Equipment Service Worker fuels, lubricates, cleans and performs other non-repair servicing on construction and transportation equipment in a shop or from a service truck in the field; services a wide variety of heavy duty track-laying and heavy wheeled vehicles in yards and at construction sites; or may serve as an apprentice in one of the automotive crafts.","$42,741 to $60,823",1/26/2018,1,,PART-TIME,None,CONSTRUCTION,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. One year of full-time paid experience in servicing and lubricating construction vehicles exclusively; or
2. Two years of full-time paid experience in servicing and lubricating a combination of ALL of the following: cars, trucks and construction vehicles."
cityofla/Job Bulletins\CONSTRUCTION ESTIMATOR 3341 070816 REVISED 072116 (1).txt,CONSTRUCTION ESTIMATOR,ARCHITECT,3341,"A Construction Estimator creates cost estimates for labor, material, and equipment based on conceptual, preliminary, or detailed designs for the construction, alteration, rehabilitation and maintenance of projects that may include civil, structural, and architectural disciplines for any of the structures and facilities owned and/or operated by the City. A construction estimator may be required to process Requests for Information, and Change Order Estimates when necessary.","$70,428 to $102,980",7/8/2016,2,2,PART-TIME,COLLEGE OR UNIVERSITY,CONSTRUCTION,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,"civil, structural or construction engineering, or in architecture at the rate of 30 semester or 45 quarter units may be substituted on a year for year basis for the experience specified in Requirement #1.",0,0,"1.	Two years of full-time paid experience in building estimating, building inspection, general contracting, professional architecture, or professional engineering; and
2.	Two years of full-time paid experience in making cost and quantity estimates for type I, II, III, IV, and V buildings under the Uniform Building Code or the Los Angeles City Building Code.
Education at an accredited college or university in civil, structural or construction engineering, or in architecture at the rate of 30 semester or 45 quarter units may be substituted on a year for year basis for the experience specified in Requirement #1."
cityofla/Job Bulletins\CONSTRUCTION INSPECTOR 7291 042117.txt,CONSTRUCTION INSPECTOR,ASSISTANT,7291,"A Construction Inspector inspects the construction of a wide variety of public works, public improvements, or public utilities projects to ensure conformance to plans, specifications, contracts, permits, environmental documents, agreements for work, and may provide construction inspection support.","$80,283 to $97,092",4/21/2017,1,4,PART-TIME,COLLEGE OR UNIVERSITY,CONSTRUCTION,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,"any of the following areas: engineering; construction; design; building inspection technology; construction inspection; public works construction; architectural drafting; geology; civil, mechanical, electrical, or fire protection engineering technology; math; or physics, and two years of full-time paid experience working on commercial or public works projects; or",1,1,"1. One year of full-time paid experience as a City of Los Angeles Assistant Inspector IV with the Department of Public Works, Bureau of Contract Administration; or
2. Three years of full-time paid experience in inspection or construction supervision of commercial or public works projects; or
3. Four years of full-time paid experience as a member of a survey crew performing commercial or public works construction surveying; or
4. Six years of full-time paid experience in a construction trade working on commercial or public works projects; or
5. Four years of full-time paid experience as a drafting technician or an engineering designer involved in the design of commercial or public works projects; or
6. Four years of full-time paid experience in materials testing or construction management on commercial or public works projects; or
7. Completion of 60 semester or 90 quarter units from an accredited college or university with at least 12 semester or 18 quarter units in any of the following areas: engineering; construction; design; building inspection technology; construction inspection; public works construction; architectural drafting; geology; civil, mechanical, electrical, or fire protection engineering technology; math; or physics, and two years of full-time paid experience working on commercial or public works projects; or
8. Completion of a recognized four-year apprenticeship and two years of full-time paid experience working on commercial or public works projects."
cityofla/Job Bulletins\CONTRACT ADMINISTRATOR 9168 031017.txt,CONTRACT ADMINISTRATOR,ARCHITECT,9168,"A Contract Administrator supervises professional employees engaged in the development, negotiation, preparation, and enforcement of contracts for the design and construction of municipal recreational facilities and public improvement projects for the City of Los Angeles; applies sound supervisory principles and training techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","$102,729 to $150,210",3/10/2017,2,4,FULL-TIME,COLLEGE, LAW ,R,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,order to obtain that position.,0,0,"1. Two years of full-time paid professional architectural or landscape architectural experience at the level of Architect or Landscape Architect, one year of which includes continuing responsibility for the development, negotiation, and enforcement of design and construction contracts to implement capital improvement programs; or
2. Four years of full-time paid professional architectural or landscape architectural experience as an Architectural Associate IV or Landscape Architectural Associate IV with the City of Los Angeles, two years of which includes continuing responsibility for the development, negotiation, and enforcement of design and construction contracts to implement capital improvement programs."
cityofla/Job Bulletins\CONTROL SYSTEMS ENGINEERING ASSOCIATE 7230 090817 (1).txt,CONTROL SYSTEMS ENGINEERING ASSOCIATE,ENGINEER,7230,"A Control Systems Engineering Associate develops, designs, selects and evaluates instrumentation and process control systems for the automatic control of a variety of dynamic processes; may supervise employees engaged in the above work; and performs related work.","$64,456 to $94,252; $72,098 to $105,444; $80,283 to $117,345; $87,236 to $127,555",9/8/2017,,4,None,MASTER,ENGINEERING,R,ONLY ON AN OPEN COMPETITIVE BASIS,,6,6,"1. A Bachelor's or Master's degree in engineering from an accredited college or university, which includes 18 semester units or 27 quarter units of Electrical Engineering courses or 12 semester units or 18 quarter units of Chemical or Environmental Engineering course work; and completion of 6 semester units or 9 quarter units of control systems courses; or
2. Certification as an Engineer-In-Training recognized by the State of California Board for Professional Engineers, Land Surveyors, and Geologists; or
3. Registration as a Professional Engineer with the State of California Board for Professional Engineers, Land Surveyors, and Geologists."
cityofla/Job Bulletins\CORRECTIONAL NURSE 2317 101615.txt,CORRECTIONAL NURSE,NURSE,2317,A Correctional Nurse performs professional nursing services to arrestees/prisoners in City jails. Duties performed include the following:  utilizing protocols in the provision of care; assisting the medical staff with patient evaluations and treatment; performing phlebotomy for forensic purposes; independently obtaining patient histories and performing patient assessments; performing focused physical examinations; performing diagnostic testing such as EKGs and urinalysis; providing emergency care and performing CPR; conducting sick call rounds; assisting with procedures; creating and maintaining medical records; collecting and documenting work statistics; testifying in court proceedings; may act as lead nurse on an individual shift; and does related work.,"$65,250 to $ 83,290; $ 73,309 to $ 93,584; $91,642 to $99,409",10/16/2015,1,,FULL-TIME,None,MEDICAL RECORDS,R,ONLY ON AN OPEN COMPETITIVE BASIS,,0,0,"1.	A valid Registered Nurse license issued by the California Board of Registered Nursing; and
2.	One year of full-time paid professional nursing experience working in Correctional Care, Critical Care, Emergency Department, Medical-Surgical, or Ambulatory Care Clinic."
cityofla/Job Bulletins\CRIME AND INTELLIGENCE ANALYST  2236  062918.txt,CRIME AND INTELLIGENCE ANALYST,MANAGEMENT ASSISTANT,2236,"A Crime and Intelligence Analyst researches, compiles, analyzes, and maps crime trends and patterns; disseminates information related to criminal activity; assists patrol, investigative, and administrative staff in planning the deployment of resources for the prevention, intervention, and suppression of criminal activities; acts as liaison to all Los Angeles Police Department and neighboring law enforcement Crime Analysis Details; may act as lead analyst; and performs related work.","$59,487 to $86,965 and $70,157 to $102,563",6/29/2018,2,4,FULL-TIME,COLLEGE OR UNIVERSITY, LAW ,R,ONLY ON AN OPEN COMPETITIVE BASIS,order to obtain that position.,0,0,"1. Two years of full-time paid professional experience in a class at the level of Management Assistant performing duties in researching, compiling, and analyzing crime trends and patterns in a law enforcement agency; or
2. Graduation from an accredited four-year college or university and completion of a Certificate Program in Crime and Intelligence Analysis from an accredited college or university."
cityofla/Job Bulletins\CRIMINALIST 2234 030918.txt,CRIMINALIST,CRIMINALIST ,2234,"A Criminalist searches for, collects and preserves physical evidence in the investigation of crime and suspected criminals; examines evidence by means of physical and chemical analyses; prepares reports of findings; and gives expert testimony in court.  At the highest pay grade, performs analyses of physical and chemical evidence of a nonroutine nature requiring advanced technology; and may serve as a lead worker by providing training and supervision to criminalists working in a specialized field.","$65,584 to $95,901; $85,900 to $125,593; $90,159 to $131,773",3/9/2018,,4,FULL-TIME,COLLEGE OR UNIVERSITY,SCIENCE,R,ONLY ON AN OPEN COMPETITIVE BASIS,general chemistry.,1,2,Graduation from an accredited four-year college or university with a major in a physical or natural science and successful completion of 8 semester or 12 quarter units in general chemistry.
cityofla/Job Bulletins\CUSTODIAL SERVICES ASSISTANT 3149 012017.txt,CUSTODIAL SERVICES ASSISTANT,ASSISTANT,3149,"A Custodial Services Assistant performs a variety of cleaning and janitorial tasks in City buildings including keeping police, medical clinic, and laboratory facilities in a clean and sanitary condition.","$29,733 to $43,451",1/20/2017,,,FULL-TIME,None,AIRPORT,P,ONLY ON AN OPEN COMPETITIVE BASIS,,0,0,"1. Current employment as a Vocational Worker with the City of Los Angeles assigned to a position performing custodial work; and
2. A letter of recommendation from the personnel office of the employing department, which includes a statement of the department's willingness to hire the employee as a Custodial Services Assistant.  The letter must be attached to the application at the time of filing."
cityofla/Job Bulletins\CUSTODIAN 3156 111618.txt,CUSTODIAN,JANITOR,3156,A Custodian performs a variety of cleaning and janitorial tasks in City buildings.,"$31,173 to $45,560",11/16/2018,,,FULL-TIME,None,AIRPORT,R,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,,0,0,"1. Current employment with the City of Los Angeles; and
2. At least six months of full-time paid experience with the City of Los Angeles performing duties involving cleaning and janitorial tasks in City buildings; and
3. A letter of recommendation from the personnel office of the employing department where training was received, which includes a statement of the department's willingness to hire the employee as a Custodian. The letter must be attached to the application at the time of filing."
cityofla/Job Bulletins\CUSTODIAN SUPERVISOR 3176 042817 051117 REV.txt,CUSTODIAN SUPERVISOR,CUSTODIAN ,3176,"A Custodian Supervisor assigns, reviews and evaluates the work of one or more groups of custodial employees engaged in a variety of cleaning and custodial tasks in City buildings, creates memorandums and supervisory paperwork on computers, communicates effectively via verbal, written and electronic formats, applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.","$36,477 to $51,907",4/28/2017,4,,PART-TIME,None,MAINTENANCE,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. Four years of full-time paid custodial experience with the City of Los Angeles at the level of Custodian with two of the four years working as a lead or supervisor of a crew engaged in custodial work; or
2. Four years of full-time paid custodial experience, which includes:
a. One year performing floor care maintenance activities; and
b. Two years supervising custodial employees."
cityofla/Job Bulletins\CUSTOMER SERVICE REPRESENTATIVE 1230 020918.txt,CUSTOMER SERVICE REPRESENTATIVE,CUSTOMER SERVICE ,1230,"A Customer Service Representative has direct public contact including in-person transactions; use of the telephone and Internet to receive customer requests for service; provide information and respond in writing to customers of the Department of Water and Power regarding accounts and department programs; performs specialized work in various aspects of customer billing and collection of delinquent accounts, including the use of personal computers to make necessary input/adjustment transactions; and does related work.","$57,148 to $71,012; $60,405 to $75,042; and $65,980 to $81,954",2/9/2018,,,FULL-TIME,None,MATHEMATICS,R,ONLY ON AN OPEN COMPETITIVE BASIS,,0,0,"Two years of full time paid experience processing customer requests for service and providing information to customers regarding accounts or specialized programs either in-person or through the telephone or Internet; or performing specialized work in various aspects of customer billing and collection, including data entry, customer account research and resolution, and the use of personal computers to make necessary input/adjustment transactions."
cityofla/Job Bulletins\CUSTOMER SERVICE SPECIALIST 1229 101218.txt,CUSTOMER SERVICE SPECIALIST,CUSTOMER SERVICE ,1229,"A Customer Service Specialist performs specialized business tax, licenses, and permits work, involving cashiering, various aspects of processing and reviewing customer requests for service, billing questions and resolutions, as well as service complaints, responding to the public's concerns and requests for information on City business tax and associated permits, Lifeline exemptions and reductions, ordinances, rules, regulations, and policies, including the use of a computer terminal for inputting requests, reviewing billing information, and following up on requests; and does related work.","$50,237 to $73,476",10/12/2018,2,,PART-TIME,None,BUSINESS,P,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. Two years of full-time paid call center operation or direct customer service experience, responding to customer inquiries in person, telephonically, via e-mail, or through on-line chat activities; or
2. Six months of full-time or 960 cumulative hours paid experience with the City of Los Angeles Office of Finance at the level of a Tax Renewal Assistant directly handling or providing clerical support for processing business tax billings or payments, and 
3. Completion of a four week Business Tax Ordinance class provided by the City of Los Angeles Office of Finance."
cityofla/Job Bulletins\DATA PROCESSING TECHNICIAN 1136 051217.txt,DATA PROCESSING TECHNICIAN,,1136,"A Data Processing Technician coordinates and controls jobs processed by computer systems; reviews, prepares, verifies, and coordinates establishment of systems documentation; maintains technical publications and documentation in library; may act as tape librarian and may operate support data processing equipment in a centralized data processing facility; and administers software products.","$43,639 to $63,809 and $47,376 to $69,279",5/12/2017,2,,PART-TIME,None,INFORMATION SYSTEM,P,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. Two years of full-time paid experience as a Data Entry Operator with the City of Los Angeles; or
2. Two years of full-time paid experience in the processing and controlling of computer-based information systems, or in the documenting of information systems requirements and procedures."
cityofla/Job Bulletins\DATABASE ARCHITECT 1470 083118.txt,DATABASE ARCHITECT,SYSTEMS ANALYST,1470,"A Database Architect performs technical and administrative work in the development of standards, methods, techniques, procedures, data analyses, data designs, and database implementations necessary for the productive use, integration, sharing, standardization, integrity, security, availability, maintenance and operation of the City's electronic databases and assists in the overall management of the electronic databases; installs and configures database software and related administration tools and utilities; develops and implements production scripts for database maintenance tasks; designs, develops and implements databases; enforces databases integrity; monitors and tunes database performance; tunes and optimizes SQL statements and database/system parameters; develops and conducts training; utilizes database tools to perform various types of database backups and recoveries; ensures database security and compliance with SB1386 or data privacy acts; researches current database issues and technologies; assist application developer to apply sound database technology to new application; may supervise other technical employees in the performance of this work; and performs related duties.","$97,781 to $142,944",8/31/2018,2,4,PART-TIME,COLLEGE OR UNIVERSITY,DATA MANAGEMENT,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. A bachelor's degree from an accredited four-year college or university in information systems, software engineering, computer engineering, computer science, or a related field; AND EITHER
2. Two years of full-time paid experience installing, administering, tuning, and maintaining databases in a medium to large scale production environment in one of the following database platforms: Oracle, DB2, or SQL Server, in a position at the level of Senior Systems Analyst I, Systems Programmer I, or Programmer Analyst IV with the City of Los Angeles; OR
3. Two years of full-time paid experience as a database architect or database administrator in the information technology industry installing, administering, tuning, and maintaining medium to large scale production databases in one of the following database platforms: Oracle, DB2, or SQL Server. 
A DBA professional certification in one of the following databases may be substituted for up to one year of the required experience:
a. Oracle Database, version 10g or higher - Any operating system, Oracle Certified Professional (OCP)
b. DB2 Universal Database, version 8 or higher - Any operating system, IBM Certified Database Administrator
c. Microsoft SQL Server version 2005 or higher - Microsoft Certified Database Administrator (MCDBA)"
cityofla/Job Bulletins\DECK HAND 5131 093016.txt,DECK HAND,OPERATIONS,5131,A Deck Hand performs deck work and operates the helm on a motor vessel and other related duties.,"$60,823 (flat rated)",9/30/2016,2,,FULL-TIME,None,CONSTRUCTION,R,ONLY ON AN OPEN COMPETITIVE BASIS,,1,2,"Two years of full-time (or 4,160 hours) paid experience as a deck hand on a motor vessel."
cityofla/Job Bulletins\DELIVERY DRIVER 1121 032318.txt,DELIVERY DRIVER,,1121,"A Delivery Driver operates a City automobile, station wagon, van, pickup truck, or other light vehicle as a major assignment in delivering and picking up mail, supplies, and department materials; may collect water samples from designated locations for use in laboratory tests; keeps routine records and prepares routine reports; performs routine clerical, messenger, or stockroom duties part of the time.","$36,519 to $53,390; $39,839 to $58,255; and $43,033 to $62,953",3/23/2018,1,,FULL-TIME,None,LABOR,R,ONLY ON AN OPEN COMPETITIVE BASIS,,0,0,"1. Current paid employment with the City of Los Angeles; and
2. One year full-time paid experience driving a vehicle performing pick-up and delivery of mail, supplies, parcels, or equipment from other parties."
cityofla/Job Bulletins\DEPARTMENTAL CHIEF ACCOUNTANT 1593 111717 revised 11.21.txt,DEPARTMENTAL CHIEF ACCOUNTANT,ACCOUNTANT,1593,"A Departmental Chief Accountant plans and directs the commercial and governmental accounting activities for a City department, including such areas as auditing, billing, collections, cash management, investing, cost accounting, accrual accounting, grant accounting, financial report preparation and analysis, and bond financing for capital construction; or assists in planning and directing this work; guides and directs staff in the implementation and application of financial systems; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","$91,913 to $130,771; $96,966 to $137,995; $113,983 to $162,195; and $123,066 to $175,120",11/17/2017,2,4,FULL-TIME,COLLEGE OR UNIVERSITY,ACCOUNTING,P,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,order to obtain that position.,0,0,"Two years of full-time paid professional accounting experience in a class at the level of Principal Accountant with the City of Los Angeles, directing the work of a professional accounting or auditing staff."
